Bölüm,Label
ELEKTRONIK VE HABERLESME MUHENDISLIGI ING,1245
ELEKTRONIK VE HABERLESME MUHENDISLIGI INGILIZCE,1246
ELEKTRONIK VE HABERLESME MUHENDISLIGI TAM BURSLU,1247
ELEKTRONIK VE HABERLESME MUHENDISLIGI(%25 BURSLU),1248
ELEKTRONIK VE HABERLESME MUHENDISLIGI(%50 BURSLU),1249
ELEKTRONIK VE HABERLESME MUHENDISLIGI(IKINCI OGRETIM),1250
ELEKTRONIK VE HABERLESME MUHENDISLIGI(INGILIZCE),1251
ELEKTRONIK VE HABERLESME MUHENDISLIGI(INGILIZCE)(%50 BURSLU),1252
ELEKTRONIK VE HABERLESME MUHENDISLIGI(INGILIZCE)(IKINCI OGRETIM),1253
ELEKTRONIK VE HABERLESME MUHENDISLIGI(INGILIZCE)(TAM BURSLU),1254
ELEKTRONIK VE HABERLESME MUHENDISLIGI(TAM BURSLU),1255
ELEKTRONIK VE HABERLESME MUHENDISLIGIING,1256
ELEKTRONIK VE HABERLESME MUHENDISLIGIINGILIZCE,1257
ELEKTRONIK VE HABERLESME MUHENDISLILIGI,1258
ELEKTRONIK VE HABERLESME MUHENDSILIGI,1259
ELEKTRONIK VE HABERLSEME MUHENDISLIGI,1260
ELEKTRONIK VE OTOMASYON,1261
ELEKTRONIK VE OTOMASYON BOLUMU,1262
ELEKTRONIK VE OTOMASYON MUHENDISLIGI,1263
ELEKTRONIK&HABERLESME MUH,1264
ELEKTRONIK-HABERLESME MUHENDISLIGI,1265
ELEKTRONIK-HABERLESME MUHENDISLIGI ING,1266
ELEKTRONILK VE HABERLESME MUHENDISLIGI,1267
ELEKTRONOROFIZYOLOJI,1268
ELETKRIK-ELEKTRONIK MUHENDISLIGI,1269
ELETRIK ELEKTRONIK MUHENDISLIGI,1270
ELETRIK VE ENERJI BOLUMU/DOGALGAZ VE TESISAT TEKNOLOJILERI PROGRAMI,1271
ELK.ELKT MUH VE BILG.PROG.,1272
EMLAK,1273
EMLAK VE EMLAK YONETIMI,1274
EN,1275
END. ELEKTRONIK,1276
ENDGSTRI MUHENDISLIGI (%100 INGIL,1277
ENDU,1278
ENDUS,1279
ENDUSRTI MUHENDISLIGI,1280
ENDUST,1281
ENDUSTI MUHENDISLIGI,1282
ENDUSTRI,1283
ENDUSTRI M,1284
ENDUSTRI MU,1285
ENDUSTRI MUH,1286
ENDUSTRI MUH.,1287
ENDUSTRI MUHEDN,1288
ENDUSTRI MUHEND,1289
ENDUSTRI MUHENDI,1290
ENDUSTRI MUHENDILIGGI,1291
ENDUSTRI MUHENDILIGI,1292
ENDUSTRI MUHENDILIGI-INGILIZCE,1293
ENDUSTRI MUHENDIS,1294
ENDUSTRI MUHENDISI,1295
ENDUSTRI MUHENDISL,1296
ENDUSTRI MUHENDISLI,1297
ENDUSTRI MUHENDISLIG,1298
ENDUSTRI MUHENDISLIGI,1299
ENDUSTRI MUHENDISLIGI %100 INGILIZCE,1300
ENDUSTRI MUHENDISLIGI %30 INGILIZCE,1301
ENDUSTRI MUHENDISLIGI & BILGISAYAR MUHENDISLIGI (CAP),1302
ENDUSTRI MUHENDISLIGI & INSAAT MUHENDISLIGI CIFT ANA DAL,1303
ENDUSTRI MUHENDISLIGI & ISLETME,1304
ENDUSTRI MUHENDISLIGI ( %30 INGILIZCE),1305
ENDUSTRI MUHENDISLIGI ( INGILIZCE ),1306
ENDUSTRI MUHENDISLIGI (%100 INGILIZCE),1307
ENDUSTRI MUHENDISLIGI (DDP - SIUE),1308
ENDUSTRI MUHENDISLIGI (DGS'DEN GECIS YAPTIM),1309
ENDUSTRI MUHENDISLIGI (EN),1310
ENDUSTRI MUHENDISLIGI (ENG),1311
ENDUSTRI MUHENDISLIGI (FRANSIZCA),1312
ENDUSTRI MUHENDISLIGI (IN,1313
ENDUSTRI MUHENDISLIGI (ING),1314
ENDUSTRI MUHENDISLIGI (ING)(TAM BURSLU),1315
ENDUSTRI MUHENDISLIGI (INGILIZC),1316
ENDUSTRI MUHENDISLIGI (INGILIZCCE),1317
ENDUSTRI MUHENDISLIGI (INGILIZCE),1318
ENDUSTRI MUHENDISLIGI (INGLIZCE),1319
ENDUSTRI MUHENDISLIGI - BILGISAYAR MUHENDISLIGI(CIFT ANADAL),1320
ENDUSTRI MUHENDISLIGI - EKONOMI,1321
ENDUSTRI MUHENDISLIGI - INGILIZCE,1322
ENDUSTRI MUHENDISLIGI - OTOMOTIV MUHENDISLIGIYAN DAL,1323
ENDUSTRI MUHENDISLIGI - YAP BILGISAYAR MUHENDISLIGI,1324
ENDUSTRI MUHENDISLIGI / BILGISAYAR MUHENDISLIGI CAP,1325
ENDUSTRI MUHENDISLIGI / ISLETME,1326
"ENDUSTRI MUHENDISLIGI ANADAL, BILGISAYAR MUHENDISLIGI CIFT ANADAL",1327
ENDUSTRI MUHENDISLIGI BOLUMU,1328
ENDUSTRI MUHENDISLIGI EKONOMI CIFT ANADALI YAPIYORUM,1329
ENDUSTRI MUHENDISLIGI ENG,1330
ENDUSTRI MUHENDISLIGI ING,1331
ENDUSTRI MUHENDISLIGI ING.,1332
ENDUSTRI MUHENDISLIGI INGILIZCE,1333
ENDUSTRI MUHENDISLIGI INGILIZCE PROGRAM,1334
ENDUSTRI MUHENDISLIGI INGILIZCE UOLP,1335
ENDUSTRI MUHENDISLIGI LISANS BOLUMUNU 2019 YILINDA BITIRDIM VE SUANDA ENDUSTRI MUHENDISLIGINDE YUKSEKLISANS YAPIYORUM.,1336
ENDUSTRI MUHENDISLIGI TEZLI YUKSEKLISANS,1337
ENDUSTRI MUHENDISLIGI VE BILGISAYAR MUHENDISLIGI CIFT ANADAL,1338
ENDUSTRI MUHENDISLIGI Y.L.,1339
ENDUSTRI MUHENDISLIGI%100 INGILIZCE,1340
ENDUSTRI MUHENDISLIGI( INGILIZCE),1341
ENDUSTRI MUHENDISLIGI(%100 INGILIZCE),1342
ENDUSTRI MUHENDISLIGI(%25 BURSLU),1343
ENDUSTRI MUHENDISLIGI(%30 ING.),1344
ENDUSTRI MUHENDISLIGI(%30 INGILIZCE),1345
ENDUSTRI MUHENDISLIGI(%50 BURSLU),1346
ENDUSTRI MUHENDISLIGI(2.SINIFA GECTIM),1347
ENDUSTRI MUHENDISLIGI(30% INGILIZCE),1348
ENDUSTRI MUHENDISLIGI(EN),1349
ENDUSTRI MUHENDISLIGI(IKINCI OGRETIM),1350
ENDUSTRI MUHENDISLIGI(ING),1351
ENDUSTRI MUHENDISLIGI(ING.),1352
ENDUSTRI MUHENDISLIGI(INGILIZCE),1353
ENDUSTRI MUHENDISLIGI(INGILIZCE)(%25 BURSLU),1354
ENDUSTRI MUHENDISLIGI(INGILIZCE)(%50 BURSLU),1355
ENDUSTRI MUHENDISLIGI(INGILIZCE)(IKINCI OGRETIM),1356
ENDUSTRI MUHENDISLIGI(INGILIZCE)(TAM BURSLU),1357
ENDUSTRI MUHENDISLIGI(INGILIZCE)(UOLP-SOUTHERN ILLINOIS UN. EDWARDSVILLE),1358
"ENDUSTRI MUHENDISLIGI(INGILIZCE),GIDA MUHENDISLIGI",1359
ENDUSTRI MUHENDISLIGI(TAM BURSLU),1360
ENDUSTRI MUHENDISLIGI(UZAKTAN EGITIM),1361
ENDUSTRI MUHENDISLIGI-%100 INGILIZCE,1362
ENDUSTRI MUHENDISLIGI-EKONOMI CIFT ANADAL,1363
ENDUSTRI MUHENDISLIGI-INGILIZC,1364
ENDUSTRI MUHENDISLIGI-INGILIZCE %75 BURSLU,1365
ENDUSTRI MUHENDISLIGI-ULUSLARARASI TICARET,1366
ENDUSTRI MUHENDISLIGI-YAZILIM MUHENDISLIGI,1367
ENDUSTRI MUHENDISLIGI/EKONOMI,1368
ENDUSTRI MUHENDISLIGI/YAZILIM MUHENDISLIGI(CAP),1369
"ENDUSTRI MUHENDISLIGI3.46 NOT ORTALAMASI,MAKINE MUHENDISLIGI CIFT ANADAL 3.23 NOT ORTALAMASI",1370
ENDUSTRI MUHENDISLIGICIFTANADALINSAAT MUHENDISLIGI,1371
ENDUSTRI MUHENDISLIGIINGILIZCE,1372
ENDUSTRI MUHENDISLIGIMAKINA MUHENDISLIGI CAP,1373
ENDUSTRI MUHENDISLIGITAM BURSLU,1374
ENDUSTRI MUHENDISLII ( INGILIZCE ),1375
ENDUSTRI MUHENDLISLIGI,1376
ENDUSTRI MUHENDS,1377
ENDUSTRI MUHENDSILIGI,1378
ENDUSTRI MUHENNDISLIGI,1379
ENDUSTRI MUHENSILIGI,1380
ENDUSTRI MUHNDISLIGI,1381
ENDUSTRI OU,1382
ENDUSTRI SISTEMLERI MUHENDISLIGI,1383
ENDUSTRI SISTEMLERI MUHENDISLIGI ENDUSTRI MUHENDISLIGI ULUSLARARASI TICARET VE FINANSMAN,1384
ENDUSTRI SISTEMLERI MUHENDISLIGI(%50 BURSLU),1385
ENDUSTRI SISTEMLERI MUHENDISLIGI(TAM BURSLU),1386
ENDUSTRI U,1387
ENDUSTRI URUNLER TASARIMI,1388
ENDUSTRI URUNLERI TASARI,1389
ENDUSTRI URUNLERI TASARIM,1390
ENDUSTRI URUNLERI TASARIMI,1391
ENDUSTRI URUNLERI TASARIMI(%50 BURSLU),1392
ENDUSTRI URUNLERI TASARIMI(INGILIZCE),1393
ENDUSTRI URUNLERI TASARIMI(INGILIZCE)(TAM BURSLU),1394
ENDUSTRI URUNLERI TASARIMI(MEZUN)+ MIMARLIK(CAP),1395
ENDUSTRI URUNLERI TASARIMI(TAM BURSLU),1396
ENDUSTRI URUNLERI VE TASARIMI,1397
ENDUSTRI VE BILGISAYAR MUHENDISLIGI,1398
ENDUSTRI VE SISTEM MUH.,1399
ENDUSTRI VE SISTEM MUHENDISLIGI,1400
ENDUSTRI VE SISTEM MUHENDISLIGI VE BILGISAYAR MUHENDISLIGI(CAP),1401
ENDUSTRI. MUHENDISLIGI,1402
ENDUSTRIAL ENGINEERING,1403
ENDUSTRISI MUHENDISLIGI,1404
ENDUSTRIYEL KALIPCILIK,1405
ENDUSTRIYEL TASARI,1406
ENDUSTRIYEL TASARIM,1407
ENDUSTRIYEL TASARIM (,1408
ENDUSTRIYEL TASARIM (%100 INGILIZCE),1409
ENDUSTRIYEL TASARIM MUHENDISLIGI,1410
ENDUSTRIYEL TASARIM(%50 BURSLU),1411
ENDUSTRIYEL TASARIM(INGILIZCE),1412
ENDUSTRIYEL TASARIM(INGILIZCE)(TAM BURSLU),1413
ENDUSTRIYEL URUN TASARIMI,1414
ENDUSTRIYEL URUNLERI TASARIMI,1415
ENERJ SISTEMLERI MUHENDISLIGI,1416
ENERJI BILIMI VE TEKNOLOJILERI,1417
ENERJI MUHENDISLIG,1418
ENERJI MUHENDISLIGI,1419
ENERJI MUHENDISLIGI(INGILIZCE),1420
ENERJI SISTEMLER MUHENDISLIGI,1421
ENERJI SISTEMLERI MUH,1422
ENERJI SISTEMLERI MUHENDISL,1423
ENERJI SISTEMLERI MUHENDISLIG,1424
ENERJI SISTEMLERI MUHENDISLIGI,1425
ENERJI SISTEMLERI MUHENDISLIGI (%100 APPLYBAU GIRISIM BURSU),1426
ENERJI SISTEMLERI MUHENDISLIGI (M.T.O.K.),1427
ENERJI SISTEMLERI MUHENDISLIGI (M.T.O.K.)(IKINCI OGRETIM),1428
ENERJI SISTEMLERI MUHENDISLIGI (TEKNOLOJI FAKULTESI),1429
ENERJI SISTEMLERI MUHENDISLIGI (TEKNOLOJI FAKULTESI)(IKINCI OGRETIM),1430
ENERJI SISTEMLERI MUHENDISLIGI - ELEKTRIK ELEKTRONIK MUHENDISLIGI,1431
ENERJI SISTEMLERI MUHENDISLIGI I.O.,1432
ENERJI SISTEMLERI MUHENDISLIGI VE ELEKTRIK ELEKTRONIK MUHENDISLIGI,1433
ENERJI SISTEMLERI MUHENDISLIGI(%50 BURSLU),1434
ENERJI SISTEMLERI MUHENDISLIGI(IKINCI OGRETIM),1435
ENERJI SISTEMLERI MUHENDISLIGI(INGILIZCE),1436
ENERJI SISTEMLERI MUHENDISLIGI(INGILIZCE)(%50 BURSLU),1437
ENERJI SISTEMLERI MUHENDISLIGI(INGILIZCE)(TAM BURSLU),1438
ENERJI SISTEMLERI MUHENDISLIGI(TAM BURSLU),1439
"ENERJI SISTEMLERI MUHENDISLIGI,ELEKTRIK-ELEKTRONIK MUHENDISLIGICIFT ANADAL",1440
ENERJI SISTEMLERI MUHENDISLIGI-ENDUSTRI MUHENDISLIGICIFT ANADAL,1441
ENERJI SISTEMLERI MUHENDISLIGI-ISLETME MUHENDISLIGICAP,1442
ENERJI TESISLERI ISLETMECILIGI,1443
ENERJI YONETIMI,1444
ENFORMASYON TEKNOLOJILERI,1445
"ENFORMASYON TEKNOLOJILERI,ENDUSTRI MUHENDISLIGI",1446
ENFORMASYON TEKNOLOJILERIIT/ENDUSTRI MUHENDISLIGICAP,1447
ENGELLI BAKIM,1448
ENGELLI BAKIM REHABILITASYON,1449
ENGELLI BAKIM VE REHABILITASYON,1450
ENGELLI BAKIM VE RERHABILITASYON,1451
ENGELLI BAKIM VE RWHABILITAS,1452
ENGELLI BAKIMI VE RAHABILITASYON,1453
ENGELLI BAKIMI VE REHABILITASYON,1454
ENGELLI BAKIMI VE REHABILITASYONU,1455
ENGELLILER ICIN GOLGE OGRETICILIK VE OPTISYENLIK,1456
ENGELLILERDE EGZERSIZ VE SPOR BILIMLERI,1457
ENGLISH LANGUAGE AND LITERATURE,1458
ENVIRONMENTAL ENGINEERING (%100 ENG),1459
ENVIRONMENTAL ENGINEERING(ENGLISH),1460
EPO - PHD,1461
"ERDEMLI UYGULAMALI TEKNOLOJI VE ISLETMECILIK YUKSEK OKULU, ISLETME BILGI YONETIMI 4 YILLIK LISANS",1462
ERGOT,1463
ERGOTERAPI,1464
ERGOTERAPI 2. SINIFIM - FIZYOTARAPI ILE DE YAN DAL YAPIYORUM.,1465
ERGOTERAPI BOLUMU,1466
ESIT AGIRLIK PROGRAMCILIGI,1467
ESIT AGIRLIKLI PROGRAMLAR,1468
ESKI YUNAN DILI,1469
ESKI YUNAN DILI VE EDEBIYATI,1470
ESM,1471
ETIK DEGERLER,1472
EUROPEAN UNION STUDIES,1473
EUROPEAN UNION STUDIES - ECONOMICS,1474
EVDE BAKIM TEKNISYENLIGI,1475
EVDE HASTA BAKIMI,1476
EVDE HASTA BAKIMI PROGRAMI BOLUMU,1477
EVDE SAGLIK HIZM,1478
EVDE SAGLIK HIZMETLERI,1479
EVELIK,1480
EZACILIK FAKULTESI/ ECZACILIK BOLUMU,1481
F,1482
FARS DILI VE EDEBIYATI,1483
FARSCA MUTERCIM VE TERCUMANLIK,1484
FELSE,1485
FELSEFE,1486
FELSEFE %30 INGILIZC,1487
FELSEFE + PSIKOLOJI,1488
FELSEFE BOLUMU,1489
FELSEFE GRUBU OGRETMENLIGI,1490
FELSEFE SOSYOLOJI CIFT ANA DAL,1491
FELSEFE VE HUKUK,1492
FELSEFE(IKINCI OGRETIM),1493
FELSEFE(INGILIZCE),1494
FELSEFE(INGILIZCE)(TAM BURSLU),1495
FELSEFE+ PSIKOLOJI,1496
FELSEFE- ARKEOLOJI,1497
FEN BILGI,1498
FEN BILGISI EGITIMI YUKSEK LISANS,1499
FEN BILGISI OGETMENLIGI,1500
FEN BILGISI OGRETENLIGI,1501
FEN BILGISI OGRETMEN,1502
FEN BILGISI OGRETMENI,1503
FEN BILGISI OGRETMENILIGI,1504
FEN BILGISI OGRETMENL,1505
FEN BILGISI OGRETMENLI,1506
FEN BILGISI OGRETMENLIGI,1507
FEN BILGISI OGRETMENLIGI ( SCIENCE EDUCATION),1508
FEN BILGISI OGRETMENLIGI(TAM BURSLU),1509
FEN BILGISI OGRT.,1510
"FEN BILIMLERI ENSTITUSU, CEVRE MUHENDISLIGI ANABILIM DALI, CEVRE TEKNOLOJISI BILIM DALI",1511
FEN BILIMLERI ENSTITUSU-BIYOLOJI (YL),1512
FEN BILIMLERI OGRETMENLIG,1513
FEN BILIMLERI OGRETMENLIGI,1514
FEN BILIMLERI OGRETMENLIGI PROGRAMI,1515
FEN BILIMLERI VE MATEMATIK / ILKOGRETIM MATEMATIK OGRETMENLIGI,1516
FEN EDEBIYAT BIYOLOJI BOLUMU,1517
FEN EDEBIYAT FAK,1518
FEN EDEBIYAT FAKULTESI,1519
FEN EDEBIYAT FAKULTESI - FIZIK BOLUMU,1520
FEN EDEBIYAT FAKULTESI BIYOLOJI BOLUMU,1521
FEN EDEBIYAT FAKULTESI COGRAFYA BOLUMU,1522
FEN EDEBIYAT FAKULTESI KIMYA BOLUMU,1523
FEN EDEBIYAT FAKULTESI MATEMATIK,1524
FEN EDEBIYAT FAKULTESI PSIKOLOJI BOLUMU,1525
FEN EDEBIYAT FAKULTESI SOSYOLOJI BOLUMU,1526
FEN EDEBIYAT FAKULTESI TARIH,1527
FEN EDEBIYAT FAKULTESI-TURK DILI VE EDEBIYATI BOLUMU,1528
FEN EDEBIYAT FAKULTESI/ COGRAFYA BOLUMU,1529
FEN EDEBIYAT KIMYA,1530
FEN EDEBIYAT/MATEMATIK,1531
FEN FAKULTESI BIYOLOJI,1532
FEN OGRETMENLIGI,1533
FEN VE TEKNOLJI OGRETMENLIGI,1534
FEN VE TEKNOLOJI OGRETMENLIGI,1535
FEN-EDEBIYAT FAKULTESI,1536
FEN-EDEBIYAT FAKULTESI KIMYA BOLUMU,1537
FIDAN YETISTIRICILIGI,1538
FILM TASARIM,1539
FILM TASARIM BOLUMU,1540
FILM TASARIM VE YONETMENLIGI,1541
FILM TASARIMI VE YAZARLIK,1542
"FILM TASARIMI VE YONETMENLIGI BOLUMU/KURGU, SES VE GORUNTU YONETIMI PR.",1543
FILM TASARIMI(INGILIZCE)(%50 BURSLU),1544
FINANCE,1545
FINANS,1546
FINANS BANKACILIK VE SIGORTA,1547
FINANS BANKACILIK VE SIGORTACILIK,1548
FINANS VE BANKACILIK,1549
FINANS YONETIMI VE PAZARLAMA,1550
"FINANS,BANKACILIK VE SIGORTACILIK",1551
FINANS-BANKACILIK VE SIGORTACILIK,1552
"FINANSAL EKONOMIMASTER AYRICA ISTANBUL UNIVERSITESI-PARA,SERMAYE PIYASALARI VE FINANSAL KURUMLARMASTER",1553
FINANSBANKA VE SIGORTACILIK,1554
FIYOTERAPI,1555
FIZ,1556
FIZI,1557
FIZIK,1558
FIZIK (ING.),1559
FIZIK / FEN FAKULTESI,1560
FIZIK ANA BILIM DALI,1561
FIZIK BOLUMU,1562
FIZIK EGITIMI,1563
FIZIK EGITIMI ANABILIM DALI,1564
FIZIK MUHENDISLIGI,1565
FIZIK MUHENDISLIGI %100 INGILIZCE,1566
FIZIK MUHENDISLIGI (INGILIZCE),1567
FIZIK MUHENDISLIGI(INGILIZCE),1568
FIZIK MUHENDISLIGI-INGILIZC,1569
FIZIK OGRETMENLIGI,1570
FIZIK TEDAVI,1571
FIZIK TEDAVI TEKNIKERI,1572
FIZIK TEDAVI V,1573
FIZIK TEDAVI VE RAHABILITASYON,1574
FIZIK TEDAVI VE REHABILITAS,1575
FIZIK TEDAVI VE REHABILITASYON,1576
FIZIK TEDAVI VE REHABILITASYON FAKULTESI,1577
FIZIK TEDAVI VE REHABILITASYON INGILIZCE,1578
FIZIK TEDAVI VE REHABILITASYON.,1579
FIZIK UHENDISLIGI,1580
FIZIK VE BILGISAYAR MUHENDISLIGI,1581
FIZIK VE KIMYA MUHENDISLIGICIFT ANADAL,1582
FIZIK(ING),1583
FIZIK(INGILIZCE),1584
FIZIK(INGILIZCE)(TAM BURSLU),1585
FIZIK(TAM BURSLU),1586
FIZIKTEDAVI VE REHABILITASYON,1587
FIZYOTE,1588
FIZYOTERAP,1589
FIZYOTERAPI,1590
FIZYOTERAPI PROGRAMI,1591
FIZYOTERAPI REHABILITASYON,1592
FIZYOTERAPI TEKNIKERI,1593
FIZYOTERAPI TEKNIKERLIGI,1594
FIZYOTERAPI VE REH,1595
FIZYOTERAPI VE REHABIL,1596
FIZYOTERAPI VE REHABILITASY,1597
FIZYOTERAPI VE REHABILITASYO,1598
FIZYOTERAPI VE REHABILITASYON,1599
FIZYOTERAPI VE REHABILITASYON (FAKULTE),1600
FIZYOTERAPI VE REHABILITASYON (FAKULTE)(%25 BURSLU),1601
FIZYOTERAPI VE REHABILITASYON (FAKULTE)(%50 BURSLU),1602
FIZYOTERAPI VE REHABILITASYON (FAKULTE)(TAM BURSLU),1603
FIZYOTERAPI VE REHABILITASYON (INGILIZCE LISANS),1604
FIZYOTERAPI VE REHABILITASYON (INGLIZV,1605
FIZYOTERAPI VE REHABILITASYON (YUKSEKOKUL),1606
FIZYOTERAPI VE REHABILITASYON (YUKSEKOKUL)(%50 BURSLU),1607
FIZYOTERAPI VE REHABILITASYON (YUKSEKOKUL)(IKINCI OGRETIM),1608
FIZYOTERAPI VE REHABILITASYON (YUKSEKOKUL)(INGILIZCE),1609
FIZYOTERAPI VE REHABILITASYON (YUKSEKOKUL)(TAM BURSLU),1610
FIZYOTERAPI VE REHABILITASYON BOLUMU,1611
FIZYOTERAPI VE REHABILITASYON CIFT ANADAL RADYOLOJI,1612
FIZYOTERAPI VE REHABITILASYON,1613
FIZYOTERAPI YUKSEK ONLISANS,1614
FIZYOTERAPII VE REHABILITASYON,1615
FIZYOTERAPIS,1616
FIZYOTETAPI,1617
FLORENCE NIGHTINGALE HEMSIRELIK FAKULTESI,1618
FLORENCE NIGHTINGALE HEMSIRELIK FAKULTESI HEMSIRELIK BOLUMU,1619
FOOD ENGINERING,1620
FOREIGN LANGUAGE EDUCATION,1621
FOTOGRAF,1622
FOTOGRAF BOLUMU,1623
FOTOGRAF VE VIDEO,1624
FOTOGRAF VE VIDEO ANASANAT DALI PROGRAMI,1625
FOTOGRAFCILIK VE KAMERAMANLIK,1626
FRANSIZ DILI OGRETMENLIGI,1627
FRANSIZ DILI VE EDEBIYATI,1628
FRANSIZ DILI VE EDEBIYATI // DIS TICARET,1629
FRANSIZCA KAMU YONETIMI,1630
FRANSIZCA MUTERCIM TERCUMANLIK,1631
FRANSIZCA MUTERCIM VETERCUMANLIK,1632
FRANSIZCA OGRETMENLIG,1633
FRANSIZCA OGRETMENLIGI,1634
FRANSIZCA SIYASET BILIMI VE KAMU YONETIMI,1635
FRANSIZCA SIYASET BILIMI VE KAMU YONETIMI BOLUMU,1636
FRANSIZCA SIYASET VE KAMU YONETIMI,1637
FTR,1638
FUTBOL ANTRENORLUGU,1639
G,1640
GAAZETECILIK,1641
GASTRON,1642
GASTRONOMI,1643
GASTRONOMI (YUKSEKOKUL),1644
GASTRONOMI (YUKSEKOKUL)(TAM BURSLU),1645
GASTRONOMI MUTFAK SANATLARI,1646
GASTRONOMI VE MTMFAK SANATLARI,1647
GASTRONOMI VE MUTFAK,1648
GASTRONOMI VE MUTFAK S,1649
GASTRONOMI VE MUTFAK SANAT,1650
GASTRONOMI VE MUTFAK SANATLAR,1651
GASTRONOMI VE MUTFAK SANATLARI,1652
GASTRONOMI VE MUTFAK SANATLARI (M.T.O.K.),1653
GASTRONOMI VE MUTFAK SANATLARI (TURIZM FAKULTESI),1654
GASTRONOMI VE MUTFAK SANATLARI (TURIZM FAKULTESI)(IKINCI OGRETIM),1655
GASTRONOMI VE MUTFAK SANATLARI BOLUMU,1656
GAYRIMENKUL GELISTIRME VE YONETIMI,1657
GAYRIMENKUL VE VARLIK DEGERLEME,1658
GAZ VE TESISAT TEKNOLOJISI,1659
GAZ VE TESISATI TEKNOLOJISI,1660
GAZ VE TESISATLAR,1661
GAZ VE TESSISAT TEKNOLIJISI,1662
GAZATECILIK,1663
GAZETCILIK,1664
GAZETE,1665
GAZETECI,1666
GAZETECILI,1667
GAZETECILIK,1668
GAZETECILIK BOLUMU,1669
GAZETECILIK IO,1670
GAZETECILIK(IKINCI OGRETIM),1671
GAZETECILIK(TAM BURSLU),1672
GAZETECILIK(TURKCE),1673
GAZI UNIVERSITESI ECZACILIK FAKULTESI ECZACILIK BOLUMU,1674
GELENEKSEL EL SANATLARI,1675
GELENEKSEL ELSANATLARI,1676
GELENEKSEL TURK EL SANATLARI,1677
GELENEKSEL TURK HALK MUZIGI,1678
GELENEKSEL TURK S,1679
GELENEKSEL TURK SANATLARI,1680
GEMI INSA,1681
GEMI INSA PROGRAMI,1682
GEMI INSAAT MUHENDISLIGI,1683
GEMI INSAAT VE GEMI MAKINALARI MUHUNDESLIGI,1684
GEMI INSAATI,1685
GEMI INSAATI VE DENIZ BILIMLERI FAKULTESI,1686
GEMI INSAATI VE DENIZ TEKNOLOJILERI MUHENDISLIGI,1687
GEMI INSAATI VE GEMI MAKINALARI MUH.,1688
GEMI INSAATI VE GEMI MAKINALARI MUHENDISLIGI,1689
GEMI INSAATI VE GEMI MAKINALARI MUHENDISLIGI — METALURJI VE MALZEME MUHENDISLIGI,1690
GEMI INSAATI VE GEMI MAKINELERI BOLUMU,1691
GEMI INSAATI VE GEMI MAKINELERI MUH.,1692
GEMI INSAATI VE GEMI MAKINELERI MUHENDI,1693
GEMI INSAATI VE GEMI MAKINELERI MUHENDISLIGI,1694
GEMI INSAATI VE GEMI MAKINELERI MUHENDISLIGI(IKINCI OGRETIM),1695
GEMI INSAATI VE GEMI MAKINELERI MUHENDISLIGI(INGILIZCE),1696
GEMI INSAATI VE GEMI MAKINELERI MUHENDISLIGI(KUZEY KIBRIS)(INGILIZCE)(TAM BURSLU),1697
GEMI MAKINA ISLETME,1698
GEMI MAKINALARI ISLETME MUHENDISLIGI,1699
GEMI MAKINALARI VE I,1700
GEMI MAKINELERI ISL. MUH.,1701
GEMI MAKINELERI ISLETME,1702
GEMI MAKINELERI ISLETME MUHENDISLIGI,1703
GEMI MAKINELERI ISLETME MUHENDISLIGI(INGILIZCE),1704
GEMI MAKINELERI ISLETME MUHENDISLIGI(INGILIZCE)(%50 BURSLU),1705
GEMI MAKINELERI VE GEMI INSAATI MUHENDISLIGI,1706
GEMI MEKINELERI ISLETME MUH.,1707
GEMI VE DENIZ TEKNOLOJILERI MUHENDISLIGI %100 INGILIZCE,1708
GEMI VE DENIZ TEKNOLOJISI MUHENDISLIG,1709
GEMI VE DENIZ TEKNOLOJISI MUHENDISLIGI,1710
GEMI VE DENIZ TEKNOLOJISI MUHENDISLIGI ING,1711
GEMI VE DENIZ TEKNOLOJISI MUHENDISLIGI(INGILIZCE),1712
GENEL COGRAFYA,1713
GENEL TIP,1714
GENEL TURK TARIHI,1715
GENETICS AND BIOENGINEERING,1716
GENETIK MUH,1717
GENETIK VE BIYOINFORMATIK(INGILIZCE),1718
GENETIK VE BIYOINFORMATIK(INGILIZCE)(TAM BURSLU),1719
GENETIK VE BIYOMUHENDISLIK,1720
GENETIK VE BIYOMUHENDISLIK(%50 BURSLU),1721
GENETIK VE BIYOMUHENDISLIK(INGILIZCE)(%50 BURSLU),1722
GENETIK VE BIYOMUHENDISLIK(INGILIZCE)(TAM BURSLU),1723
GENETIK VE YASAM BILIMLERI PROGRAMI,1724
GEOMATICS ENGINEERING GEOMATIK MUHENDISLIGI,1725
GEOMATIK MUH.,1726
GEOMATIK MUHEND,1727
GEOMATIK MUHENDISLIGI,1728
GEOMATIK MUHENDISLIGI BOLUMU,1729
GEOMATIK MUHENDISLIGI(INGILIZCE),1730
GERCEKTEN BURSA COK IHTIYACIM VAR EGITIMI TAMAMLAYABILMEM ICIN,1731
GERONTOLOJI,1732
GERONTOLOJİ,1733
GID MUHENDISLIGI,1734
GIDA,1735
GIDA KAL,1736
GIDA KALITE KONTROL VE ANALIZ TEKNIKERLIGI,1737
GIDA KALITE KONTROL VE ANALIZI,1738
GIDA KALITE KONTROL VE ANALIZI BOLUMU,1739
GIDA KALITE KONTROLU ANALIZI,1740
